hash,params,onchip_used_bytes,offchip_streamed_bytes,total_ops,mapped,latency_ms_median,latency_ms_min,latency_ms_p95,latency_ms_mean,n_timed,status
4c2e6efcd3e63a170f3e3f358d9fea84,9014154,8032092,1059061,104,TRUE,3.3768,3.3184,3.5109,3.3952,100,timed
88fbe77b5640371dcbfb38598126b26b,14196618,7906263,6385827,68,TRUE,15.0742,14.9791,15.2326,15.0862,100,timed
cdafdf37ce85696704cb88943e97c552,1700674,2139095,0,95,TRUE,0.9309,0.8716,1.0437,0.9423,100,timed
3a84e0ad7980f716eeacf15919b262be,4709258,4781506,0,104,TRUE,1.2346,1.1980,1.3512,1.2519,100,timed
74b4f4593d17d0a2951634df306a4958,38969226,8032092,31027363,95,TRUE,70.3892,70.1651,70.5629,70.4029,100,timed
0613b92e3d1d46b3d29fcf00d44072c6,12274570,7895777,4445962,86,TRUE,11.1705,11.0833,11.3080,11.1853,100,timed
66f099921991da4bc33d1a84c20c7888,3742858,3795845,0,95,TRUE,1.2609,1.2324,1.4202,1.2852,100,timed
d1b9a359561814e89b273c953bb32bb1,3479434,3533701,0,95,TRUE,1.3385,1.2918,1.4777,1.3560,100,timed
51ce526bef6a9a315c57ba584090b5d5,12110730,7853834,4330618,77,TRUE,10.5785,10.4669,10.6901,10.5878,100,timed
90e3f5faec3240ddfee38a004cead72a,1931146,1981808,0,41,TRUE,0.8559,0.8204,0.9535,0.8730,100,timed
3d5ab02fa567075caaba24957442fc46,15075722,8032092,7151288,86,TRUE,16.7365,16.6483,16.8550,16.7584,100,timed
250c5f63f0a4a985e704c8b6b34fd6ef,8750730,7906263,912896,104,TRUE,3.1283,3.0748,3.2909,3.1539,100,timed
86b6f658f237f6dd05204a6ca97d5743,12110730,7780433,4404019,95,TRUE,11.0969,10.9953,11.2940,11.1174,100,timed
7008198c90ed5d4dd8adb0acbd2fd2bd,497674,569344,0,68,TRUE,0.5257,0.4793,0.6432,0.5395,100,timed
aa665d5ca55829b9ddd3a4d1c360a87b,29668746,7895777,21852323,77,TRUE,49.8182,49.7035,49.9539,49.8264,100,timed
2f15ccd4bd9b45cb3ad9ecee049305d4,7871626,7906263,23040,86,TRUE,1.8199,1.7817,1.9673,1.8423,100,timed
971ac24547267da23e12018371b49874,5807242,5861539,0,95,TRUE,1.6010,1.5532,1.7218,1.6154,100,timed
54a607b5218c9982eb559f253f6978fb,20532106,7895777,12708741,59,TRUE,29.4096,29.2991,29.5069,29.4112,100,timed
d2a6d6bf9e5dc6b4f42877c8337be76a,32633738,8021606,24725422,104,TRUE,56.0775,55.9470,56.2924,56.0961,100,timed
b6c9554acdc4b47d81823ba67626f845,12110730,7853834,4330618,86,TRUE,10.7189,10.6371,10.8380,10.7335,100,timed
f38df1441545abd5a543b0e1ea1b9687,3742858,3795845,0,95,TRUE,1.2311,1.1951,1.3460,1.2465,100,timed
86234eb6135af3960d7fdea3d65f645a,5631114,5683281,0,86,TRUE,1.4453,1.3845,1.8303,1.5122,100,timed
dbbbf73630874fcf19e5882a333c8f83,12966794,8032092,5012193,86,TRUE,12.2065,12.0957,12.4659,12.2369,100,timed
d648a3844908aa19dc9385b9f4f790f4,4555612,5683281,0,92,TRUE,1.4010,1.3534,1.4915,1.4131,100,timed
e092d43820b08fe53aa2ba6e2395850a,30711690,7906263,22900899,95,TRUE,52.1882,52.0322,52.3633,52.2123,100,timed
6236f0cf8574d9b0a3866e636b9f1915,15075722,7969177,7214202,95,TRUE,16.9601,16.8573,17.1107,16.9778,100,timed
997324d7135eecbf9adfaab28c82993a,5543818,5599395,0,86,TRUE,1.5294,1.4916,1.6935,1.5541,100,timed
c9204a6ad8dd6d811d5e5a2824101724,4709258,4781506,0,104,TRUE,1.2270,1.1983,1.4629,1.2623,100,timed
2d5413cb4137167fcd3dbfc48f88367f,2767014,3491758,0,80,TRUE,1.1037,1.0626,1.2879,1.1391,100,timed
0ed8f83666e1fb7f79ca02bdde890d2d,1013770,1111490,0,68,TRUE,0.6799,0.6327,1.0610,0.7734,100,timed
606f15037b5bd4d79ace4200792b95cf,6070666,6134169,0,95,TRUE,1.5049,1.4697,1.6256,1.5227,100,timed
ccc084535b7fbe102538c08a7b912308,16118666,8032092,8199864,104,TRUE,19.1851,19.0619,19.3252,19.2009,100,timed
e8dcca075e681e84f571db2efc3ec40f,5367690,5421137,0,86,TRUE,1.5401,1.4772,2.1705,1.6136,100,timed
ecc70329e3c8132ededb3e614c99459c,6246794,6312427,0,95,TRUE,1.6562,1.6134,1.8926,1.6881,100,timed
f2bf6cacc836e8ff51766fcef9716a86,1072344,1373634,0,95,TRUE,0.8322,0.7943,0.9928,0.8581,100,timed
56843fa944df2c025589ae799312fe60,3303306,3355443,0,86,TRUE,1.2148,1.1592,1.3743,1.2375,100,timed
bc12ef2ce699b9f9ed98731c977784ac,30711690,7895777,22911385,95,TRUE,52.2571,52.0293,52.4443,52.2745,100,timed
6b3b187b26bf62d08556fc86e69ca60c,6818186,6920601,0,104,TRUE,1.8315,1.7913,1.9018,1.8406,100,timed
7b2fd70156186ce9dd422edaae54ada1,1678474,1730150,0,95,TRUE,1.0001,0.9707,1.1147,1.0278,100,timed
6b357aa289720ff7908c1ab48227a2a0,21411210,8021606,13474201,86,TRUE,31.1361,31.0354,31.2964,31.1584,100,timed
511350affb749c780443198c522714ce,2782644,3491758,0,80,TRUE,1.0731,1.0492,1.1888,1.0947,100,timed
afbae1c035782c5f51f7542247d99794,6510218,6574571,0,104,TRUE,1.5474,1.4989,1.7599,1.5786,100,timed
bed0664cd033875b2f5059277b8d1a9e,3918986,3974103,0,68,TRUE,1.1480,1.0758,1.2969,1.1745,100,timed
ece70dffadf532dc5849678b88a3a3fb,7871626,7895777,31744,95,TRUE,1.9301,1.8877,2.0643,1.9468,100,timed
7ad086bdc3ebfa56a8ef5f6f0214df83,6246794,6312427,0,104,TRUE,1.6252,1.5804,1.8136,1.6580,100,timed
88533e8540790ea14214199b7b18c5a8,2779703,3491758,0,98,TRUE,1.1863,1.1346,1.3957,1.2094,100,timed
a321fcc724dcdd6974f64d546909b58e,28789642,7790919,21076377,59,TRUE,48.0915,47.9148,48.2444,48.1024,100,timed
818335e2311b94ab15cbd7c90cae21e7,1415050,1468006,0,95,TRUE,1.0719,1.0356,1.2429,1.0986,100,timed
2ee627980d8e573758a45c6b555c2853,1464385,1835008,0,101,TRUE,0.9503,0.9110,1.2699,1.0000,100,timed
41d209a4137cdf29810fb5394ee2a325,4621962,4687134,0,104,TRUE,1.4204,1.3844,1.5822,1.4479,100,timed
